is_Date,day,month,year,first_in_paros,is_First
False,,,,True,True
False,,,,True,False
False,,,,False,False
False,,,,True,False
False,,,,True,False
True,,,1961,True,False
True,,,1959,True,False
True,,,1965,False,False
False,,,,True,False
True,11,3,,True,True
False,,,,True,False
False,,,,False,False
True,19,3,,True,True
True,,,0,False,False
True,,,1957,True,False
True,23,3,,True,True
True,24,3,,True,True
True,,,0,False,False
True,,,1959,True,False
True,27,3,,True,True
True,28,3,,True,True
True,31,3,,True,True
True,,,,False,False
True,2,4,,True,True
True,,4,1929,True,False
True,,,1929,False,False
False,,,,False,False
False,,,,True,False
False,,,,False,False
True,4,4,,True,True
False,,,,False,False
False,,,,False,False
True,10,4,,True,True
False,,,,True,False
False,,,,False,False
True,20,4,,True,True
False,,,,False,False
False,,,,False,False
True,,,1958,False,False
True,,,0,True,False
True,30,4,,True,True
True,,5,,False,False
True,6,5,,True,True
True,,,1965,False,False
True,,,1959,True,False
True,7,5,,True,True
True,14,5,,True,True
True,,,1960,False,False
True,1,8,1960,False,False
True,18,5,,True,True
True,,,1960,False,False
True,,,1952,True,False
False,,,,True,True
True,,,1964,False,False
True,28,5,,True,True
True,1,6,,True,True
True,,,1955,False,False
True,,,1955,False,False
False,,,,True,True
False,,,,False,False
True,,,1,False,False
True,,,0,False,False
True,,,1965,False,False
True,,,1965,True,False
True,,,1965,True,False
True,,,1965,True,False
False,,,,False,False
True,20,6,,True,True
False,,,,True,True
True,6,7,,True,True
False,,,,False,False
True,,,1959,False,False
True,,,1960,True,False
True,13,7,,True,True
True,,,1965,False,False
True,,,0,False,False
True,14,7,,True,True
True,,,1963,False,False
True,1,,,True,False
True,18,7,,True,True
True,,,1958,True,False
True,20,7,,True,True
True,,,1962,False,False
True,22,7,,True,True
False,,,,True,False
True,3,8,,True,True
True,,,1960,False,False
True,,,1,True,False
True,7,8,,True,True
True,13,8,,True,True
True,17,8,,True,True
False,,,,True,True
True,,,1960,False,False
False,,,,False,False
False,,,,False,False
True,,,1960,False,False
True,,,1960,True,False
True,,,1960,False,False
True,27,8,,True,True
False,,,,True,False
True,,,1960,False,False
True,29,8,,True,True
True,30,8,,True,True
True,31,8,,True,True
True,3,9,,True,True
False,,,,True,False
True,4,9,,True,True
True,5,10,,True,True
True,6,10,,True,True
True,,11,,False,False
True,10,10,,True,True
True,,,1960,False,False
True,,,1960,True,False
True,,,1959,False,False
True,,,1960,False,False
True,,,1959,True,False
False,,,,False,False
True,12,10,,True,True
True,15,10,,True,True
True,,,1960,False,False
True,19,10,,True,True
True,22,10,,True,True
True,,,0,True,False
True,,10,,True,True
True,,11,,False,False
False,,,,True,True
False,,,,False,False
False,,,,False,False
True,,11,1959,True,False
True,12,11,,True,True
True,20,11,,True,True
True,1,,,False,False
True,23,11,,True,True
True,24,11,,True,True
True,25,11,,True,True
False,,,,False,False
True,,,1965,False,False
True,,,1958,False,False
False,,,,True,True
True,28,11,,False,False
True,,,1961,True,False
True,,,1965,False,False
True,,,1965,False,False
True,,,1970,False,False
True,29,11,,True,False
True,8,12,,True,True
True,9,12,,True,True
True,12,12,,True,True
True,22,12,,True,True
True,,,1961,True,False
True,,,1960,False,False
True,,,1960,True,False
True,3,1,,True,True
True,5,1,,True,True
True,,,1959,False,False
True,,,1960,False,False
True,,,1959,False,False
True,,,1960,False,False
False,,,,False,False
False,,,,False,False
True,11,1,,True,True
True,12,1,,True,True
True,14,1,,True,True
True,,,1960,False,False
True,26,1,,True,True
True,3,2,,True,True
True,8,2,,True,True
True,,,1960,False,False
True,,,1960,True,False
True,16,2,,True,True
True,,,1960,False,False
True,,,1960,False,False
True,,,1960,True,False
True,18,2,,True,True
True,,,1960,False,False
True,25,2,,True,True
True,,,1960,False,False
True,3,3,,True,True
True,7,3,,True,True
True,14,3,,True,True
True,22,3,,True,True
True,24,3,,True,True
True,30,3,,True,True
True,1,4,,True,True
True,3,4,,True,True
True,9,4,,True,True
True,,,1960,False,False
True,,,1960,False,False
True,11,4,,True,True
True,12,4,,True,True
True,,6,,False,False
False,,,,True,True
True,20,4,,True,True
True,4,4,,False,False
True,,,1960,True,False
True,,,1961,False,False
True,,,1960,False,False
True,,,1961,False,False
True,,,1962,False,False
True,,,1960,False,False
True,,,1961,False,False
True,21,4,,True,True
True,,,1960,True,False
True,22,4,,True,True
True,24,4,,True,True
True,3,5,,True,True
True,,,1961,False,False
True,6,5,,True,True
True,12,5,,True,True
True,,,1959,False,False
True,,,1960,False,False
True,14,5,,True,True
True,,,,False,False
True,23,5,,True,True
True,24,5,,True,True
True,,,,False,False
True,25,5,,True,True
True,,,1960,True,False
True,3,6,,True,True
True,,5,0,False,False
True,11,6,,True,True
True,15,6,,True,True
True,20,6,,True,True
True,,,1958,False,False
True,,,,True,False
True,25,6,,True,True
True,8,7,,True,True
True,,,,True,False
True,14,7,,True,True
True,19,7,,True,True
True,21,7,,True,True
True,,,1961,False,False
True,,,1,False,False
True,1,9,,False,False
True,,,1961,False,False
True,25,7,,True,True
True,29,7,,True,True
True,,,1961,True,False
False,,,,False,False
False,,,,False,False
True,15,12,,True,False
True,30,7,,True,True
False,,,,False,False
False,,,,False,False
False,,,,False,False
False,,,,False,False
False,,,,False,False
True,2,8,,True,True
True,,,1960,False,False
True,,,0,False,False
True,4,8,,True,True
True,10,8,,True,True
True,15,8,,True,False
True,20,8,,True,True
True,22,8,,True,True
True,23,8,,True,True
True,24,8,,True,True
True,25,8,,True,True
True,27,8,,True,True
True,1,9,,True,True
True,,,1950,False,False
True,,,1963,True,False
True,7,9,,True,True
False,,,,True,True
True,,,1961,False,False
False,,,,True,True
True,20,9,,True,True
True,,,1961,False,False
True,,,1961,True,False
True,,,1960,False,False
True,,,1961,False,False
True,,,1961,False,False
False,,,,False,False
False,,,,False,False
True,,,1961,True,False
True,21,9,,True,True
True,,,1961,False,False
True,3,10,,True,True
True,,,1960,False,False
True,4,10,,True,True
True,,,1960,False,False
True,,,1961,False,False
True,6,10,,True,True
True,,,1962,False,False
True,7,10,,True,True
True,,,1961,True,True
True,14,11,,True,True
False,,,,True,True
True,,,0,False,False
True,,,1960,False,False
True,18,11,,True,True
True,20,11,,True,True
True,,,0,False,False
True,23,11,,True,True
True,25,11,,True,True
True,,,0,True,True
True,2,12,,True,True
True,,,1961,False,False
True,14,12,,True,True
True,16,12,,True,True
True,,,1960,False,False
False,,,,True,True
True,1,1,1961,False,False
True,1,1,,True,True
True,14,1,,True,True
True,,,1960,False,False
True,,,1960,True,False
True,,,1961,True,False
True,,,1961,True,False
True,,,1961,True,False
True,18,1,,True,True
True,21,1,,True,True
True,26,1,,True,True
True,,,1960,False,False
True,,,1961,True,False
True,27,1,,True,True
True,,2,,True,True
True,3,2,,True,True
False,,,,False,False
True,10,2,,True,True
True,12,2,,True,True
True,16,2,,True,True
True,,,0,False,False
True,,,1961,False,False
True,,,1960,True,False
True,,,-1,False,False
True,25,2,,True,True
True,,,1961,True,True
True,,,1930,False,False
True,,,1930,False,False
False,,,,True,True
True,,,1952,False,False
True,,,1956,False,False
True,,5,1964,True,False
True,,,-2690,True,False
True,,,-2650,False,False
True,,,,True,False
True,,,1928,False,False
True,,5,1964,True,False
True,4,5,,True,True
True,,5,1964,False,False
True,15,5,,True,True
True,16,5,,True,True
True,,,1961,False,False
True,,,1961,True,False
True,17,5,,True,True
True,,,1961,False,False
True,,5,,False,False
True,,,1961,False,False
True,3,6,,True,True
True,5,6,,True,True
True,18,6,,True,True
True,,,1961,True,False
False,,,,True,True
True,13,7,,True,True
False,,,,False,False
False,,,,False,False
True,,,1961,True,False
True,,,1961,False,False
True,19,7,,True,True
True,,,1961,False,False
False,,,,False,False
True,25,7,,True,True
True,,,1962,False,False
True,3,8,,True,True
True,,8,1961,False,False
True,,,1962,True,False
False,,,,False,False
True,25,8,,True,True
True,2,9,,True,True
True,,,1962,True,False
True,,,1955,True,False
True,,,-5,True,False
True,,,1958,False,False
True,,,1960,True,True
True,,,1980,True,False
True,,,1980,True,False
False,,,,True,True
True,12,12,,True,True
True,22,12,,True,True
True,,8,,True,False
True,,,1959,False,False
True,,6,1960,False,False
True,,,1962,False,False
True,,,1960,False,False
True,,,1961,False,False
True,,,1958,False,False
True,,,1,False,False
False,,,,True,False
True,,,1967,True,False
True,,,1965,False,False
True,,,1962,True,True
False,,,,True,True
True,2,1,,True,True
True,1,,,False,False
True,3,1,,True,True
True,4,1,,True,True
True,5,1,,True,True
False,,,,True,True
True,8,1,,True,True
True,10,1,,True,True
False,,,,True,True
False,,,,True,True
True,16,1,,True,True
True,17,1,,True,True
True,,,1929,False,False
True,19,1,,True,True
True,19,1,,True,True
False,,,,False,False
True,20,1,,True,True
True,,,1937,False,False
